Country / Dependency,Population,% of world,Date,Source (official or from the United Nations)
India,1425775850,17.4%,14 Apr 2023,UN projection[89]
China,1409670000,17.2%,17 Jan 2024,National annual estimate[90]
United States,337943818,4.13%,2 Jun 2025,National population clock[91]
Indonesia,278696200,3.41%,1 Jul 2023,National annual estimate[92]
Pakistan,229488994,2.81%,1 Jul 2022,UN projection[93]
Nigeria,216746934,2.65%,1 Jul 2022,UN projection[93]
Brazil,219244687,2.68%,2 Jun 2025,National population clock[94]
Bangladesh,168220000,2.06%,1 Jul 2020,Annual Population Estimate[95]
Russia,147190000,1.80%,1 Oct 2021,2021 preliminary census results[96]
Mexico,128271248,1.57%,31 Mar 2022,
